passage_id,passage,school,program
P01,"The Bachelor of Business is available to study online at RMIT. The online Bachelor of Business takes 36 months to complete and offers flexible online learning in small cohorts of around 25 students with support from an Online Facilitator. The online degree is not available to international students intending to study on a student visa.","Economics, Finance and Marketing","Bachelor of Business"
P02,"The Marketing major prepares graduates for roles in digital marketing, brand management, campaign strategy, and customer analytics across industries like retail, advertising, technology, and consumer goods. Entry-level salaries start around AU$70,000, rising to AU$100,000+ for senior roles like marketing manager. The major is AMI-accredited, offering a faster path to Certified Practising Marketer (CPM) status and recognition from the UK's Chartered Institute of Marketing.","Economics, Finance and Marketing","Bachelor of Business"
P03,"At RMIT, you can take a third-year elective as a first-year student as long as you meet the course requirements and your program structure permits it. The RMIT Course Requisites policy states that Enrolment Online will block enrolment if a course has system-enforced prerequisites you haven't completed; however, if you have equivalent background knowledge, you can apply for an Enforced Requisite Waiver. If the elective lists only ""Assumed Knowledge"" rather than enforced prerequisites, you can self-enrol, though RMIT advises reviewing the Course Guide or contacting the Course Coordinator to ensure you can manage the course level.","Economics, Finance and Marketing","General"
P04,"When you successfully complete this degree, you may be eligible for entry into a range of RMIT Honours and postgraduate qualifications in related business and commerce disciplines. These include: Master's degrees, such as the Master of Commerce, Master of Analytics, Master of Data Science, Master of Business Analytics and AI Strategy, Master of Finance, Master of Business Administration, Master of Marketing, Master of International Business, and Master of Professional Accounting, among others. Graduate Diplomas, such as the Graduate Diploma in Project Management. Graduate Certificates are shorter (typically 6-month full-time) qualifications in areas like Commerce, Analytics, Business Information Technology, Digital Economy, Finance, Marketing, and HR Management.","Economics, Finance and Marketing","Bachelor of Commerce"
P05,"The Bachelor of Graphic Design offers four majors: Branding, Experience Design, Illustration, and Typography. The Branding major focuses on strategies and visual techniques that shape brand identity. Experience Design focuses on creating user-centred experiences. Illustration develops visual storytelling skills through drawing and digital techniques. Typography explores lettering and typography across different media.","Design","Bachelor of Graphic Design"
P06,"Graduates of the Bachelor of Graphic Design can pursue careers including communication designer, creative director, graphic designer, illustrator, service designer, and user experience designer. The individual majors also provide pathways to roles such as brand strategist, visual identity designer, UX/UI designer, interaction designer, concept artist, visual storyteller, book designer, publication designer, and specialist typographer.","Design","Bachelor of Graphic Design"
P07,"The Bachelor of Design (Games) provides specialist training in computer-generated design, with particular emphasis on game studies and art practice. Students develop skills across design, narrative, imaging, modelling and animation in 2D and 3D, concept art, and game environments.","Design","Bachelor of Games"
P08,"Entry to the Bachelor of Design (Games) requires VCE Units 3 and 4 with a study score of at least 25 in English other than EAL, or at least 27 in English as an Additional Language (EAL).","Design","Bachelor of Games"
P09,"The Bachelor of Business consists of 24 subjects in total. In the single-major option, the typical structure includes 4 foundation subjects, 8 major subjects, 7 Business option subjects and internships, 4 university electives, and 1 capstone subject. The Business Information Systems major is an exception and involves 12 major subjects.","Economics, Finance and Marketing","Bachelor of Business"
P10,"The Bachelor of Business allows students to complete a double major. A double major typically consists of 8 subjects in each of two chosen majors, and both majors are listed on the graduate's testamur. A double major is not available when Business Information Systems is selected as a major.","Economics, Finance and Marketing","Bachelor of Business"
